,filename,label
0,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00002314.JPEG,golf ball
1,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00003793.JPEG,golf ball
2,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00006468.JPEG,golf ball
3,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00007755.JPEG,golf ball
4,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00007947.JPEG,golf ball
5,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00008161.JPEG,golf ball
6,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00008599.JPEG,golf ball
7,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00009902.JPEG,golf ball
8,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00011431.JPEG,golf ball
9,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00011581.JPEG,golf ball
10,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00011983.JPEG,golf ball
11,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00012356.JPEG,golf ball
12,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00012634.JPEG,golf ball
13,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00013633.JPEG,golf ball
14,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00014102.JPEG,golf ball
15,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00016748.JPEG,golf ball
16,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00017247.JPEG,golf ball
17,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00019268.JPEG,golf ball
18,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00020502.JPEG,golf ball
19,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00020781.JPEG,golf ball
20,C:\Users\kruets\Documents\Workspace\dvc_test\repo_git\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00022792.JPEG,golf ball
